TIME = 5	INPUT = x	OUTPUT = x
TIME = 15	INPUT = 0	OUTPUT = 0
TIME = 25	INPUT = 1	OUTPUT = 1
TIME = 35	INPUT = 2	OUTPUT = 4
TIME = 45	INPUT = 3	OUTPUT = 9
TIME = 55	INPUT = 4	OUTPUT = 16
TIME = 65	INPUT = 5	OUTPUT = 25
TIME = 75	INPUT = 6	OUTPUT = 36
TIME = 85	INPUT = 7	OUTPUT = 49
TIME = 95	INPUT = 8	OUTPUT = 64
TIME = 105	INPUT = 9	OUTPUT = 81
TIME = 115	INPUT = 10	OUTPUT = 100
TIME = 125	INPUT = 11	OUTPUT = 121
TIME = 135	INPUT = 12	OUTPUT = 144
TIME = 145	INPUT = 13	OUTPUT = 169
TIME = 155	INPUT = 14	OUTPUT = 196
TIME = 165	INPUT = 15	OUTPUT = 225
TIME = 175	INPUT = 15	OUTPUT = 225
test_squares.v:33: $finish called at 180 (1s)
